Walt Disney World	206859	28.385234	-81.563874
Lufthansa	9325	50.9572449	6.9673223
Krakatoa	82613	6.1196518	105.3926186
Maersk	18224	55.6712674	12.5608388
Smithsonian Institution	131626	38.888786	-77.026023
Bayer	152051	51.0541742	7.006992
Hatshepsut	129234	25.738266	32.606588
Harrods	332474	51.499405	-0.163234
Øresund Bridge	26465	55.570629	12.848637
Duluth, Minnesota	235283	46.7649885	-92.1112232
Swarovski	611115	47.283333	11.583333
Takeshi Kitano	26372	35.783333	139.8
San Diego State University	370442	32.775278	-117.072222
Crimean Khanate	160440	44.752778	33.860833
Hoffmann-La Roche	212646	47.566667	7.6
Larsen & Toubro	638231	18.975	72.825833
Hermès	843887	48.869931	2.318397
Elgin Marbles	606662	37.9715	23.7267
Sanofi	158205	48.874167	2.311111
Anheuser-Busch	125074	38.627222	-90.197778
